LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01000001,City of London 001A,c,c,15,1060,c
E01000002,City of London 001B,c,c,30,1145,c
E01000003,City of London 001C,c,c,c,1280,c
E01000005,City of London 001E,c,c,c,615,c
E01000006,Barking and Dagenham 016A,35,90,300,155,c
E01000007,Barking and Dagenham 015A,15,50,155,1050,c
E01000008,Barking and Dagenham 015B,c,10,25,515,c
E01000009,Barking and Dagenham 016B,30,50,245,330,c
E01000011,Barking and Dagenham 016C,50,100,245,120,c
E01000012,Barking and Dagenham 015D,15,75,140,600,c
E01000013,Barking and Dagenham 013A,50,155,400,55,c
E01000014,Barking and Dagenham 013B,35,130,400,95,c
E01000015,Barking and Dagenham 009A,30,170,390,270,c
E01000016,Barking and Dagenham 009B,50,140,405,45,c
E01000017,Barking and Dagenham 009C,40,145,370,70,c
E01000018,Barking and Dagenham 009D,40,170,425,20,c
E01000019,Barking and Dagenham 023A,35,170,270,40,c
E01000020,Barking and Dagenham 023B,35,240,295,110,c
E01000021,Barking and Dagenham 008A,45,190,210,150,c
E01000022,Barking and Dagenham 008B,20,205,240,25,c
E01000024,Barking and Dagenham 008D,20,180,255,20,c
E01000025,Barking and Dagenham 008E,40,145,435,90,c
E01000027,Barking and Dagenham 001A,40,205,270,170,c
E01000028,Barking and Dagenham 001B,30,90,200,320,c
E01000029,Barking and Dagenham 001C,50,350,190,110,c
E01000030,Barking and Dagenham 001D,15,155,170,585,c
E01000031,Barking and Dagenham 002A,40,205,250,120,c
E01000032,Barking and Dagenham 002B,25,300,165,270,c
E01000033,Barking and Dagenham 006A,20,175,185,180,c
E01000034,Barking and Dagenham 003A,40,260,150,80,c
E01000035,Barking and Dagenham 010A,30,105,275,220,c
E01000036,Barking and Dagenham 010B,30,185,225,55,c
E01000037,Barking and Dagenham 003B,20,240,295,50,c
E01000038,Barking and Dagenham 003C,10,240,255,80,c
E01000039,Barking and Dagenham 003D,35,180,310,135,15
E01000040,Barking and Dagenham 019A,50,135,255,240,c
E01000041,Barking and Dagenham 017A,40,145,395,35,c
E01000042,Barking and Dagenham 017B,25,105,265,270,c
E01000043,Barking and Dagenham 019B,20,250,130,85,c
E01000044,Barking and Dagenham 016D,60,145,360,120,c
E01000045,Barking and Dagenham 017C,35,120,345,105,c
E01000046,Barking and Dagenham 017D,35,155,390,105,c
E01000049,Barking and Dagenham 021C,15,70,115,430,c
E01000050,Barking and Dagenham 019C,40,90,270,255,c
E01000051,Barking and Dagenham 021D,c,15,20,405,c
E01000052,Barking and Dagenham 019D,65,175,425,155,c
E01000053,Barking and Dagenham 020A,30,125,240,335,c
E01000054,Barking and Dagenham 018A,45,155,425,35,c
E01000055,Barking and Dagenham 018B,30,170,355,25,c
E01000056,Barking and Dagenham 018C,30,125,345,90,c
E01000057,Barking and Dagenham 012A,25,115,310,95,c
E01000058,Barking and Dagenham 018D,45,185,400,90,c
E01000059,Barking and Dagenham 013C,40,120,385,45,c
E01000060,Barking and Dagenham 006B,30,210,260,335,c
E01000061,Barking and Dagenham 006C,c,20,40,710,c
E01000062,Barking and Dagenham 006D,40,270,375,115,c
E01000063,Barking and Dagenham 004A,35,145,410,60,c
E01000064,Barking and Dagenham 006E,45,260,310,215,c
E01000065,Barking and Dagenham 007A,40,145,355,260,c
E01000066,Barking and Dagenham 011A,20,190,295,225,c
E01000067,Barking and Dagenham 011B,25,125,310,210,c
E01000068,Barking and Dagenham 016E,35,135,255,70,c
E01000069,Barking and Dagenham 011C,25,155,355,15,c
E01000070,Barking and Dagenham 011D,40,195,280,95,c
E01000071,Barking and Dagenham 011E,30,195,380,245,c
E01000072,Barking and Dagenham 017E,40,155,335,235,c
E01000073,Barking and Dagenham 012B,45,180,390,60,c
E01000074,Barking and Dagenham 012C,45,140,355,100,c
E01000075,Barking and Dagenham 012D,45,320,265,25,c
E01000076,Barking and Dagenham 012E,60,145,415,185,c
E01000077,Barking and Dagenham 008F,45,105,360,100,c
E01000078,Barking and Dagenham 007B,45,145,375,95,c
E01000079,Barking and Dagenham 009E,30,185,355,75,c
E01000080,Barking and Dagenham 007C,35,135,395,65,c
E01000081,Barking and Dagenham 007D,45,165,415,45,c
E01000082,Barking and Dagenham 007E,40,155,385,145,c
E01000083,Barking and Dagenham 007F,35,225,325,70,c
E01000084,Barking and Dagenham 013D,35,90,355,45,c
E01000085,Barking and Dagenham 013E,35,110,345,125,c
E01000086,Barking and Dagenham 013F,35,90,370,20,c
E01000087,Barking and Dagenham 020B,40,195,200,100,c
E01000088,Barking and Dagenham 020C,35,145,340,110,c
E01000089,Barking and Dagenham 020D,55,140,380,65,c
