LSOA name,LSOA code,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
City of London 001A,E01000001,1471,52,34,36,17,90,291,336,245,220,115,35
City of London 001B,E01000002,1385,33,24,29,24,100,300,301,297,145,102,30
City of London 001C,E01000003,1611,39,32,36,18,96,353,368,384,171,81,33
City of London 001E,E01000005,1102,52,45,44,79,118,216,208,235,61,32,12
City of London 001F,E01032739,1622,18,16,39,20,307,590,340,226,46,17,3
City of London 001G,E01032740,1396,22,9,20,25,253,466,265,229,69,30,8
Barking and Dagenham 001A,E01000027,2082,168,174,260,122,120,316,423,315,84,56,44
Barking and Dagenham 001B,E01000028,1817,132,162,174,143,87,252,391,279,95,73,29
Barking and Dagenham 001C,E01000029,1820,108,126,146,90,97,230,384,269,153,161,56
Barking and Dagenham 001D,E01000030,2562,245,289,315,137,105,386,584,328,97,50,26
Barking and Dagenham 002A,E01000031,1768,118,118,135,91,130,254,372,297,137,86,30
Barking and Dagenham 002B,E01000032,2079,177,160,157,93,120,318,483,315,146,79,31
Barking and Dagenham 002C,E01000110,1573,104,111,133,73,101,237,332,306,89,61,26
Barking and Dagenham 002D,E01000111,2159,213,154,174,120,133,345,396,381,105,100,38
Barking and Dagenham 002E,E01000112,1973,198,140,128,80,123,373,449,312,92,60,18
Barking and Dagenham 002F,E01000113,1995,139,154,180,123,131,322,459,311,103,51,22
Barking and Dagenham 003A,E01000034,1574,82,102,124,87,86,231,310,286,126,70,70
Barking and Dagenham 003B,E01000037,1698,87,93,113,71,126,282,342,338,125,87,34
Barking and Dagenham 003C,E01000038,1616,96,114,119,70,109,226,310,322,125,87,38
Barking and Dagenham 003D,E01000039,1753,130,135,132,76,102,267,367,305,116,92,31
Barking and Dagenham 004A,E01000063,1778,125,126,195,107,82,241,421,312,93,55,21
Barking and Dagenham 004B,E01000100,1943,178,149,205,98,136,249,436,330,94,55,13
Barking and Dagenham 004C,E01000101,1703,116,123,164,93,106,238,380,305,104,54,20
Barking and Dagenham 004E,E01000114,2421,210,239,268,139,139,306,596,328,100,65,31
Barking and Dagenham 004F,E01034469,1745,229,202,169,64,73,301,509,130,32,21,15
Barking and Dagenham 004G,E01034470,1500,118,139,145,72,85,218,350,260,67,37,9
Barking and Dagenham 006A,E01000033,1545,98,161,166,77,75,217,325,262,106,42,16
Barking and Dagenham 006B,E01000060,2180,169,194,266,106,139,281,491,328,106,68,32
