LSOA code,LSOA name,Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile,Income Rank,Income Decile,Employment Rank,Employment Decile,"Education, Skills and Training Rank","Education, Skills and Training Decile",Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile
E01000001,City of London 001A,29199,9,32831,10,32742,10,32842,10,32113,10,32662,10,7319,3,7789,3
E01000002,City of London 001B,30379,10,29901,10,31190,10,32832,10,29705,10,32789,10,11707,4,13070,4
E01000003,City of London 001C,14915,5,18510,6,15103,5,26386,9,17600,6,29363,9,2157,1,4092,2
E01000005,City of London 001E,8678,3,6029,2,7833,3,12370,4,17907,6,31059,10,2217,1,9397,3
E01000006,Barking and Dagenham 016A,14486,5,14023,5,21692,7,17511,6,21581,7,18848,6,1033,1,10629,4
E01000007,Barking and Dagenham 015A,7256,3,6261,2,11487,4,20536,7,16414,5,4925,2,274,1,11162,4
E01000008,Barking and Dagenham 015B,5010,2,3382,2,6431,2,10569,4,12334,4,11113,4,981,1,8672,3
E01000009,Barking and Dagenham 016B,6736,3,7506,3,11132,4,16819,6,9661,3,4431,2,554,1,9611,3
E01000010,Barking and Dagenham 015C,6900,3,8902,3,17988,6,20182,7,16050,5,2164,1,259,1,2269,1
E01000011,Barking and Dagenham 016C,7698,3,9033,3,16108,5,12224,4,18178,6,8727,3,110,1,4309,2
E01000012,Barking and Dagenham 015D,5990,2,4570,2,13201,5,13896,5,16887,6,8515,3,39,1,5437,2
E01000013,Barking and Dagenham 013A,4573,2,5966,2,7013,3,11346,4,7172,3,2236,1,1018,1,8569,3
E01000014,Barking and Dagenham 013B,5650,2,6627,3,7932,3,7994,3,10972,4,5163,2,872,1,11704,4
E01000015,Barking and Dagenham 009A,6405,2,5755,2,9271,3,10318,4,15626,5,10845,4,278,1,11351,4
E01000016,Barking and Dagenham 009B,6739,3,6711,3,9461,3,8971,3,10676,4,8699,3,1273,1,11815,4
E01000017,Barking and Dagenham 009C,4570,2,4033,2,5016,2,11972,4,6950,3,11685,4,902,1,10141,4
E01000018,Barking and Dagenham 009D,6504,2,5998,2,7832,3,10125,4,12006,4,9663,3,1323,1,11373,4
E01000019,Barking and Dagenham 023A,6410,2,7049,3,7641,3,10264,4,9374,3,7142,3,1855,1,10667,4
E01000020,Barking and Dagenham 023B,5520,2,5760,2,8401,3,11245,4,6282,2,7066,3,1319,1,8756,3
E01000021,Barking and Dagenham 008A,4611,2,5007,2,7865,3,7939,3,10085,4,8283,3,961,1,3095,1
E01000022,Barking and Dagenham 008B,6098,2,6941,3,7576,3,9771,3,9980,4,9002,3,1191,1,8559,3
E01000023,Barking and Dagenham 008C,5243,2,5088,2,11325,4,11907,4,15505,5,1812,1,912,1,4268,2
E01000024,Barking and Dagenham 008D,8333,3,10056,4,12570,4,8860,3,12148,4,12816,4,940,1,8892,3
E01000025,Barking and Dagenham 008E,5303,2,5570,2,7683,3,10465,4,10405,4,5042,2,707,1,9925,4
E01000027,Barking and Dagenham 001A,5097,2,5730,2,6959,3,5869,2,13752,5,3211,1,1062,1,15032,5
E01000028,Barking and Dagenham 001B,4240,2,3610,2,6080,2,9522,3,3254,1,18303,6,494,1,18166,6
E01000029,Barking and Dagenham 001C,12389,4,14506,5,17567,6,15570,5,20355,7,11162,4,627,1,13867,5
E01000030,Barking and Dagenham 001D,4760,2,3448,2,5569,2,5699,2,15751,5,9086,3,1127,1,14570,5
E01000031,Barking and Dagenham 002A,12267,4,12951,4,17380,6,19087,6,15303,5,4231,2,4505,2,10136,4
E01000032,Barking and Dagenham 002B,8037,3,10854,4,11603,4,11882,4,14597,5,4275,2,2210,1,4853,2
E01000033,Barking and Dagenham 006A,4879,2,3732,2,7857,3,7805,3,11932,4,14128,5,52,1,14002,5
E01000034,Barking and Dagenham 003A,5575,2,5759,2,6863,3,7148,3,7279,3,11900,4,1044,1,16800,6
E01000035,Barking and Dagenham 010A,10070,4,10489,4,13897,5,10551,4,10364,4,12838,4,2476,1,13084,4
E01000036,Barking and Dagenham 010B,15028,5,14690,5,17997,6,16612,6,18923,6,10655,4,5829,2,10188,4
E01000037,Barking and Dagenham 003B,16128,5,16924,6,12386,4,13611,5,23465,8,17649,6,7168,3,15997,5
E01000038,Barking and Dagenham 003C,14671,5,12877,4,16560,6,14630,5,17616,6,13426,5,8490,3,10547,4
E01000039,Barking and Dagenham 003D,12542,4,12861,4,17820,6,13908,5,13416,5,15241,5,1472,1,17185,6
E01000040,Barking and Dagenham 019A,6028,2,5648,2,9313,3,8063,3,13665,5,7641,3,915,1,9203,3
