LSOA name,LSOA code,Total population,Under 15 years,15 to 64 years,65 years and older
City of London 001A,E01000001,1471,122,979,370
City of London 001B,E01000002,1385,86,1022,277
City of London 001C,E01000003,1611,107,1219,285
City of London 001E,E01000005,1102,141,856,105
City of London 001F,E01032739,1622,73,1483,66
City of London 001G,E01032740,1396,51,1238,107
Barking and Dagenham 001A,E01000027,2082,602,1296,184
Barking and Dagenham 001B,E01000028,1817,468,1152,197
Barking and Dagenham 001C,E01000029,1820,380,1070,370
Barking and Dagenham 001D,E01000030,2562,849,1540,173
Barking and Dagenham 002A,E01000031,1768,371,1144,253
Barking and Dagenham 002B,E01000032,2079,494,1329,256
Barking and Dagenham 002C,E01000110,1573,348,1049,176
Barking and Dagenham 002D,E01000111,2159,541,1375,243
Barking and Dagenham 002E,E01000112,1973,466,1337,170
Barking and Dagenham 002F,E01000113,1995,473,1346,176
Barking and Dagenham 003A,E01000034,1574,308,1000,266
Barking and Dagenham 003B,E01000037,1698,293,1159,246
Barking and Dagenham 003C,E01000038,1616,329,1037,250
Barking and Dagenham 003D,E01000039,1753,397,1117,239
Barking and Dagenham 004A,E01000063,1778,446,1163,169
Barking and Dagenham 004B,E01000100,1943,532,1249,162
Barking and Dagenham 004C,E01000101,1703,403,1122,178
Barking and Dagenham 004E,E01000114,2421,717,1508,196
Barking and Dagenham 004F,E01034469,1745,600,1077,68
Barking and Dagenham 004G,E01034470,1500,402,985,113
Barking and Dagenham 006A,E01000033,1545,425,956,164
Barking and Dagenham 006B,E01000060,2180,629,1345,206
Barking and Dagenham 006C,E01000061,1925,543,1270,112
Barking and Dagenham 006D,E01000062,2219,537,1432,250
Barking and Dagenham 006E,E01000064,2298,562,1488,248
Barking and Dagenham 007A,E01000065,1982,445,1272,265
Barking and Dagenham 007B,E01000078,1895,543,1207,145
Barking and Dagenham 007C,E01000080,1777,442,1215,120
Barking and Dagenham 007D,E01000081,1972,468,1339,165
Barking and Dagenham 007E,E01000082,1916,470,1274,172
Barking and Dagenham 007F,E01000083,1919,537,1213,169
Barking and Dagenham 007G,E01000102,1783,488,1124,171
Barking and Dagenham 008A,E01000021,1696,459,1099,138
Barking and Dagenham 008B,E01000022,1479,385,952,142
Barking and Dagenham 008D,E01000024,1484,365,995,124
Barking and Dagenham 008E,E01000025,1922,475,1250,197
Barking and Dagenham 008F,E01000077,1722,427,1144,151
Barking and Dagenham 008G,E01034471,2685,792,1777,116
Barking and Dagenham 008H,E01034472,1884,609,1240,35
Barking and Dagenham 009A,E01000015,2421,684,1572,165
Barking and Dagenham 009B,E01000016,1852,453,1235,164
Barking and Dagenham 009C,E01000017,1724,421,1137,166
Barking and Dagenham 009D,E01000018,1773,421,1206,146
Barking and Dagenham 009E,E01000079,1719,433,1093,193
Barking and Dagenham 010A,E01000035,1859,402,1209,248
Barking and Dagenham 010B,E01000036,1475,310,999,166
Barking and Dagenham 010C,E01000107,1786,416,1093,277
Barking and Dagenham 010D,E01000108,1914,484,1228,202
Barking and Dagenham 011A,E01000066,2499,580,1659,260
Barking and Dagenham 011B,E01000067,2236,561,1440,235
Barking and Dagenham 011C,E01000069,2096,445,1454,197
Barking and Dagenham 011D,E01000070,2073,468,1357,248
Barking and Dagenham 011E,E01000071,2603,612,1737,254
Barking and Dagenham 012A,E01000057,1549,402,990,157
Barking and Dagenham 012B,E01000073,1846,487,1165,194
Barking and Dagenham 012C,E01000074,1759,475,1126,158
Barking and Dagenham 012D,E01000075,2082,536,1323,223
Barking and Dagenham 012E,E01000076,2160,532,1441,187
Barking and Dagenham 013A,E01000013,1872,473,1229,170
Barking and Dagenham 013B,E01000014,1750,430,1159,161
Barking and Dagenham 013C,E01000059,1709,413,1069,227
Barking and Dagenham 013D,E01000084,1440,356,936,148
Barking and Dagenham 013E,E01000085,1646,404,1069,173
Barking and Dagenham 013F,E01000086,1450,358,937,155
Barking and Dagenham 014A,E01000103,1779,456,1182,141
Barking and Dagenham 014B,E01000104,1918,526,1245,147
Barking and Dagenham 014C,E01000105,2336,590,1518,228
Barking and Dagenham 014D,E01000106,2207,629,1369,209
Barking and Dagenham 015A,E01000007,2906,748,2086,72
Barking and Dagenham 015B,E01000008,1794,536,1193,65
