Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile,Income Score,Income Rank,Income Decile,Employment Score,Employment Rank,Employment Decile,"Education, Skills and Training Score","Education, Skills and Training Rank","Education, Skills and Training Decile",Health Deprivation and Disability Score,Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Score,Crime Rank,Crime Decile,Barriers to Housing and Services Score,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Score,Living Environment Rank,Living Environment Decile,LSOA code
6.208,29199.0,9.0,0.007000000000000001,32831.0,10.0,0.01,32742.0,10.0,0.024,32842.0,10.0,-1.654,32113.0,10.0,-2.012,32662.0,10.0,29.472,7319.0,3.0,31.873,7789.0,3.0,E01000001
5.143,30379.0,10.0,0.034,29901.0,10.0,0.027,31190.0,10.0,0.063,32832.0,10.0,-1.115,29705.0,10.0,-2.343,32789.0,10.0,24.412,11707.0,4.0,23.084,13070.0,4.0,E01000002
19.402,14915.0,5.0,0.086,18510.0,6.0,0.086,15103.0,5.0,5.804,26386.0,9.0,-0.102,17600.0,6.0,-1.032,29363.0,9.0,40.103,2157.0,1.0,40.535,4092.0,2.0,E01000003
28.652,8678.0,3.0,0.211,6029.0,2.0,0.136,7833.0,3.0,22.26,12370.0,4.0,-0.121,17907.0,6.0,-1.317,31059.0,10.0,39.9,2217.0,1.0,28.979,9397.0,3.0,E01000005
19.837,14486.0,5.0,0.117,14023.0,5.0,0.059,21692.0,7.0,14.798,17511.0,6.0,-0.359,21581.0,7.0,-0.147,18848.0,6.0,45.171,1033.0,1.0,26.888,10629.0,4.0,E01000006
31.576000000000004,7256.0,3.0,0.207,6261.0,2.0,0.107,11487.0,4.0,11.385,20536.0,7.0,-0.027,16414.0,5.0,0.846,4925.0,2.0,50.42,274.0,1.0,25.995,11162.0,4.0,E01000007
37.596,5010.0,2.0,0.265,3382.0,2.0,0.151,6431.0,2.0,25.506,10569.0,4.0,0.25,12334.0,4.0,0.353,11113.0,4.0,45.413000000000004,981.0,1.0,30.233000000000004,8672.0,3.0,E01000008
32.844,6736.0,3.0,0.187,7506.0,3.0,0.109,11132.0,4.0,15.713,16819.0,6.0,0.454,9661.0,3.0,0.895,4431.0,2.0,48.119,554.0,1.0,28.601,9611.0,3.0,E01000009
30.679,7698.0,3.0,0.16700000000000004,9033.0,3.0,0.081,16108.0,5.0,22.519,12224.0,4.0,-0.137,18178.0,6.0,0.526,8727.0,3.0,52.948,110.0,1.0,39.857,4309.0,2.0,E01000011
34.714,5990.0,2.0,0.239,4570.0,2.0,0.096,13201.0,5.0,19.774,13896.0,5.0,-0.056,16887.0,6.0,0.542,8515.0,3.0,56.507,39.0,1.0,36.881,5437.0,2.0,E01000012
