ATCOCode,CommonName,NptgLocalityCode,LocalityName,Longitude,Latitude,Status
490000287N,Sir Ludwig Guttmann Health Centre,N0060321,Stratford,-0.00663,51.54787,active
49000287ST,Sir Ludwig Guttmann Health Centre,N0060321,Stratford,-0.00531,51.54832,active
490012056E,Starlight Way,N0077676,Heathrow Airport Terminal 4,-0.44109,51.46,active
4900277S,Northumberland Gardens,E0034687,Mitcham,-0.13115,51.39613,active
490001089E5,Addiscombe Road,N0060493,Croydon,-0.09108,51.37601,active
490011498P,Reede Road / Heathway,N0077650,Dagenham Heathway,0.148,51.54366,active
490000281ZZ,Reede Road / Heathway,N0077650,Dagenham Heathway,0.14881,51.54276,active
490000282C,Ringers Road,N0060488,Bromley,0.01562,51.40187,active
490000284FQ,Lambrook Terrace,E0034382,Fulham,-0.21529,51.47605,active
490012768A,Nelson's Row,N0065130,Clapham Common,-0.13564,51.46274,active
490000286Z,Nelson's Row,N0065130,Clapham Common,-0.13565,51.46262,active
490000288Z,Omnibus Clapham,N0065130,Clapham Common,-0.14197,51.46361,active
490000289ZZ,Rivergate Centre,E0033933,Creekmouth,0.10923,51.52178,active
490019528S,Rivergate Centre,E0033933,Creekmouth,0.10961,51.52156,active
490000290E,Great West Quarter,E0034526,Brentford,-0.3012,51.49045,active
490000297E,White Post Lane,E0034349,Hackney Wick,-0.0224,51.54274,active
490000297W,White Post Lane,E0034349,Hackney Wick,-0.02285,51.54257,active
490018467S,High Level Drive,E0034676,Upper Sydenham,-0.0712,51.42827,active
490000298S,HIGH LEVEL DRIVE,E0034676,Upper Sydenham,-0.07075,51.42775,active
490020385E,ExCeL Exhibition Centre East,N0075225,Custom House,0.03502,51.50798,active
490000300N,Kidbrooke Park Road / Tudway Road,N0075215,Blackheath Park,0.02651,51.45636,active
490000300S,Kidbrooke Park Road / Tudway Road,N0075215,Blackheath Park,0.02659,51.45557,active
490000301N,Kidbrooke Park Road,E0034330,Kidbrooke,0.02628,51.45874,active
490012089W2,Shire Lane / Beechwood Avenue,E0034097,Farnborough,0.08401,51.35732,active
490007045FH,O2 Centre,E0034184,South Hampstead,-0.18049,51.54795,active
490001027BB,Birkbeck Station,E0034067,Anerley,-0.05635,51.40484,active
490001027BA,Birkbeck Station,E0034067,Anerley,-0.05648,51.40515,active
490008616S,Highbury Barn,E0034570,Highbury,-0.09832,51.55286,active
490008616N,Highbury Barn,E0034570,Highbury,-0.09824,51.55417,active
490000333Z,Highbury Barn,E0034570,Highbury,-0.09878,51.55294,active
490020108N,Coombe Lane West / New Victoria Hospital,E0034680,Copse Hill,-0.2506,51.41409,active
490020108W,Coombe Lane West / New Victoria Hospital,E0034680,Copse Hill,-0.24995,51.41381,active
490004258S,Brandville Gardens,E0034721,Barkingside,0.07969,51.58618,active
490007060N,Brandville Gardens,E0034721,Barkingside,0.0788,51.58574,active
490012796N,Southfield Gardens,E0034781,Strawberry Hill,-0.33733,51.43512,active
490012796S2,Southfield Gardens,E0034781,Strawberry Hill,-0.33723,51.43484,active
49000343NE,Buckingham Road Harlesden,E0034047,Harlesden,-0.24607,51.53604,active
490000345Z,Hallsville Road,E0034701,Canning Town,0.01128,51.51324,active
490020228SE,Carpenters Primary School,N0060321,Stratford,-0.00536,51.53717,active
490020135S,Wingate Square,N0065130,Clapham Common,-0.14098,51.46355,active
490004477E,Barnehurst Avenue,E0034024,Northumberland Heath,0.16134,51.47118,active
490005927W,Rush Green Road / Dagenham Road,E0034471,Rush Green,0.17502,51.56537,active
490000112M,Kingsway / Holborn Station,E0034178,Holborn,-0.11976,51.51674,active
490015502N,Marylebone Station,E0034940,Marylebone,-0.16235,51.52137,active
490015502P,Marylebone Station,E0034940,Marylebone,-0.16037,51.52153,active
490000145L,Marylebone Station,E0034940,Marylebone,-0.1627,51.52241,active
490000145LA,Marylebone Station,E0034940,Marylebone,-0.16276,51.5223,active
490008547E,Fulham Broadway,N0077665,Fulham Broadway,-0.19844,51.48022,active
490008547F,Fulham Broadway,N0077665,Fulham Broadway,-0.19812,51.48023,active
490007616A,Hackbridge Corner,E0034820,Hackbridge,-0.15671,51.37929,active
490007462S,Valence Avenue / Green Lane,N0060430,Becontree,0.13002,51.56256,active
490015155Z,Bridport Road,E0034293,Edmonton,-0.07494,51.61204,active
490000356NE,Tottenham Court Road / Great Russell Street,N0077727,Tottenham Court Road,-0.12993,51.51733,active
490000372Z,Aldwych / Bush House,N0077724,Temple,-0.11701,51.51319,active
490015048W,Parliament Square / Westminster Abbey,E0034961,Westminster,-0.1269,51.50016,active
490009902E,Mill Hill Village / The Ridgeway,E0033976,Mill Hill,-0.23268,51.62114,active
490000375Y,Argyle Road / Courthouse Road,N0077737,West Finchley,-0.18759,51.61359,active
490000375Z,Argyle Road / Courthouse Road,N0077737,West Finchley,-0.18804,51.61247,active
490000378Z,Aldersbrook Avenue,N0075228,Enfield Town,-0.07321,51.65865,active
490007155KB,Pearson Street,E0034353,Hoxton,-0.07728,51.53287,active
490000119A,Grosvenor Place / Hyde Park Corner,N0077684,Hyde Park Corner,-0.1503,51.50088,active
490000144R,Marble Arch Station / Park Lane,N0077696,Marble Arch,-0.15774,51.51231,active
490014531N,Copse Hill / Christ Church,E0034680,Copse Hill,-0.22988,51.41761,active
490000157N,Bethune Road,N0075238,North Acton,-0.26116,51.52436,active
490000413YY,Royal Docks Road / Gallions Reach Retail Park,E0034699,Beckton,0.07077,51.51481,active
490000413ZZ,Royal Docks Road / Gallions Reach Retail Park,E0034699,Beckton,0.07084,51.5144,active
490012123E,Shrubland Road,N0077732,Walthamstow Central,-0.01723,51.57291,active
490008421N,Brent Cross West Station / Edgware Road,E0033991,West Hendon,-0.22673,51.56667,active
490007184W,Ramsden Road / Court Road,E0034139,Ramsden,0.10954,51.37808,active
490016719N,Gayton Road Harrow,E0034421,Harrow on the Hill,-0.32965,51.58105,active
490005210II,Windmill Road / Chiswick,E0034563,Turnham Green,-0.25776,51.49263,active
490005210HH,Windmill Road / Chiswick,E0034563,Turnham Green,-0.25809,51.49264,active
490010956W,Bloxhall Road,N0077732,Walthamstow Central,-0.03146,51.568,active
490002263Z,Chanctonbury Way,N0060487,Woodside Park,-0.19044,51.6177,active
490002263Y,Chanctonbury Way,N0060487,Woodside Park,-0.19046,51.61665,active
