Month,Ward name,Ward code,burglary_count
2022-04-01,Abbey,E05013810,1
2022-04-01,Streatham Hill East,E05014113,6
2022-04-01,Cricket Green,E05013813,1
2022-04-01,Streatham Hill West & Thornton,E05014114,12
2022-04-01,Crayford,E05011222,4
2022-04-01,Cranham,E05013968,3
2022-04-01,Streatham St Leonard's,E05014115,10
2022-04-01,Cranford,E05013612,7
2022-04-01,Cricklewood,E05013634,4
2022-04-01,Streatham Wells,E05014116,4
2022-04-01,Courtfield,E05009393,6
2022-04-01,Stroud Green,E05013600,7
2022-04-01,Coulsdon Town,E05011466,1
2022-04-01,Sudbury,E05013511,0
2022-04-01,Coombe Vale,E05013933,3
2022-04-01,Worcester Park South,E05013773,1
2022-04-01,Coombe Hill,E05013932,2
2022-04-01,Cranbrook,E05011241,3
2022-04-01,Surbiton Hill,E05013944,7
2022-04-01,Cricklewood & Mapesbury,E05013499,8
2022-04-01,Crofton Park,E05013718,12
2022-04-01,Deptford,E05013719,24
2022-04-01,De Beauvoir,E05009371,11
2022-04-01,Stockwell West & Larkhall,E05014111,15
2022-04-01,Darwin,E05013996,3
2022-04-01,Stoke Newington,E05009385,6
2022-04-01,Dalston,E05009370,12
2022-04-01,Dalgarno,E05009394,4
2022-04-01,Streatham Common & Vale,E05014112,3
2022-04-01,Stonebridge,E05013510,20
2022-04-01,Crystal Palace & Upper Norwood,E05011467,8
2022-04-01,Stonecot,E05013764,8
2022-04-01,Crystal Palace & Anerley,E05013995,3
2022-04-01,Stratford,E05013924,4
2022-04-01,Crouch End,E05013588,4
2022-04-01,Crook Log,E05011223,4
2022-04-01,Stratford Olympic Park,E05013925,6
2022-04-01,Custom House,E05013908,5
2022-04-01,Coningham,E05013737,5
2022-04-01,Colville,E05009392,7
2022-04-01,Surrey Docks,E05011117,10
2022-04-01,Clapham Park,E05014101,6
2022-04-01,Clapham East,E05014100,2
2022-04-01,Thames View,E05014068,1
2022-04-01,Clapham Common & Abbeville,E05014099,7
2022-04-01,City of London,E09000001,27
2022-04-01,Thamesfield,E05014022,9
2022-04-01,Churchfields,E05011238,3
2022-04-01,Telegraph Hill,E05013732,9
2022-04-01,Thamesmead East,E05011232,2
2022-04-01,Chiswick Riverside,E05013611,2
2022-04-01,Thamesmead Moorings,E05014090,1
2022-04-01,Chiswick Homefields,E05013610,6
2022-04-01,The Wrythe,E05013769,3
2022-04-01,Chiswick Gunnersbury,E05013609,8
2022-04-01,Chislehurst,E05013993,5
2022-04-01,Thornton Heath,E05011486,1
2022-04-01,Church Street,E05013794,6
2022-04-01,Clapham Town,E05014102,10
2022-04-01,Teddington,E05013788,4
2022-04-01,Clayhall,E05011239,4
2022-04-01,Colliers Wood,E05013812,6
2022-04-01,Sutton Central,E05013765,4
2022-04-01,College Park & Old Oak,E05013736,2
2022-04-01,Colindale South,E05013633,9
2022-04-01,Wimbledon Town & Dundonald,E05013829,1
2022-04-01,Sutton North,E05013766,4
2022-04-01,Colindale North,E05013632,5
2022-04-01,Colham & Cowley,E05013566,4
2022-04-01,Sutton South,E05013767,4
2022-04-01,Cockfosters,E05013678,7
2022-04-01,Sutton West & East Cheam,E05013768,4
2022-04-01,Clock House,E05013994,8
2022-04-01,Clissold,E05009369,7
2022-04-01,Sydenham,E05013731,4
2022-04-01,Clerkenwell,E05013702,5
2022-04-01,Syon & Brentford Lock,E05013627,2
2022-04-01,Clementswood,E05011240,1
2022-04-01,Stockwell East,E05014110,2
2022-04-01,Chingford Green,E05013885,4
2022-04-01,Dollis Hill,E05013500,12
2022-04-01,Stepney Green,E05009334,15
2022-04-01,Fairlop,E05011242,5
2022-04-01,Fairfield,E05011468,14
2022-04-01,St Giles,E05011115,8
2022-04-01,Evelyn,E05013721,5
2022-04-01,Erith,E05011225,2
2022-04-01,St Helier,E05013824,6
2022-04-01,Enfield Lock,E05013680,10
2022-04-01,St George's,E05011114,4
2022-04-01,St Helier East,E05013761,2
2022-04-01,Emerson Park,E05013970,0
2022-04-01,Winchmore Hill,E05013696,5
2022-04-01,St Helier West,E05013762,3
2022-04-01,Eltham Town & Avery Hill,E05014079,6
2022-04-01,St James,E05013899,1
2022-04-01,Eltham Park & Progress,E05014078,0
2022-04-01,Eltham Page,E05014077,0
2022-04-01,Endlebury,E05013886,1
2022-04-01,St James's,E05013806,32
2022-04-01,Falconbrook,E05014012,10
2022-04-01,Falconwood & Welling,E05011226,1
2022-04-01,Forest Gate South,E05013912,6
2022-04-01,Springfield,E05009383,7
2022-04-01,Forest Gate North,E05013911,5
2022-04-01,Forest,E05013887,5
2022-04-01,Squirrels Heath,E05013985,1
2022-04-01,Finsbury Park,E05013703,10
2022-04-01,St Alban's,E05013981,3
2022-04-01,St Edward's,E05013983,6
2022-04-01,Finchley Church End,E05013639,11
2022-04-01,St Andrew's,E05013982,4
2022-04-01,Feltham West,E05013614,2
2022-04-01,St Ann's,E05013597,2
2022-04-01,Feltham North,E05013613,6
2022-04-01,Farnborough & Crofton,E05013997,0
2022-04-01,St Dunstan's,E05009329,4
2022-04-01,Faraday,E05011102,3
2022-04-01,Figge's Marsh,E05013814,3
2022-04-01,Elm Park,E05013969,6
2022-04-01,St Katharine's & Wapping,E05009330,8
2022-04-01,Edmonton Green,E05013679,8
2022-04-01,East Finchley,E05013636,4
2022-04-01,St Paul's Cray,E05014007,14
2022-04-01,East Barnet,E05013635,2
2022-04-01,St Peter's & Canalside,E05013711,4
2022-04-01,East Acton,E05013522,2
2022-04-01,Earl's Court,E05009395,9
2022-04-01,St. Helen's,E05009404,3
2022-04-01,East Greenwich,E05014076,9
2022-04-01,Ealing Common,E05013521,9
2022-04-01,Stamford Hill West,E05009384,1
2022-04-01,Dulwich Wood,E05011101,4
2022-04-01,Stanley,E05009405,5
2022-04-01,Dulwich Village,E05011100,5
2022-04-01,Dulwich Hill,E05011099,13
2022-04-01,Stanmore,E05013560,5
2022-04-01,Downham,E05013720,7
2022-04-01,Ealing Broadway,E05013520,4
2022-04-01,St Pancras & Somers Town,E05013669,3
2022-04-01,East Ham,E05013909,2
2022-04-01,St Mary's & St James',E05013710,8
2022-04-01,Edgwarebury,E05013638,4
2022-04-01,St Margarets & North Twickenham,E05013785,1
2022-04-01,Edgware,E05013637,9
2022-04-01,St Mark's & Seething Wells,E05013943,2
2022-04-01,Edgware,E05013545,8
2022-04-01,Eastcote,E05013567,7
2022-04-01,St Martin's,E05014109,7
2022-04-01,Eastbury,E05014060,7
2022-04-01,St Mary Cray,E05014006,1
2022-04-01,Eastbrook & Rush Green,E05014059,5
2022-04-01,East Wickham,E05011224,1
2022-04-01,St Mary's,E05014018,3
2022-04-01,East Sheen,E05013775,6
2022-04-01,St Mary's & St James,E05011229,3
2022-04-01,East Putney,E05014011,4
2022-04-01,Worcester Park North,E05013772,2
2022-04-01,East Ham South,E05013910,7
2022-04-01,Dormers Wells,E05013519,2
2022-04-01,Tokyngton,E05013512,5
2022-04-01,Childs Hill,E05013631,19
2022-04-01,Tollington,E05013712,3
2022-04-01,Borough & Bankside,E05011095,23
2022-04-01,Wealdstone South,E05013562,1
2022-04-01,Boleyn,E05013905,4
2022-04-01,Bloomsbury,E05013653,12
2022-04-01,Weavers,E05009335,7
2022-04-01,Blendon & Penhill,E05011221,2
2022-04-01,Welsh Harp,E05013513,6
2022-04-01,Bounds Green,E05013586,5
2022-04-01,Blackwall & Cubitt Town,E05009318,6
2022-04-01,Wembley Central,E05013514,4
2022-04-01,Blackheath,E05013715,5
2022-04-01,Wembley Hill,E05013515,1
2022-04-01,Blackfen & Lamorbey,E05011220,1
2022-04-01,Biggin Hill,E05013989,0
2022-04-01,Wembley Park,E05013516,2
2022-04-01,Bickley & Sundridge,E05013988,1
2022-04-01,Blackheath Westcombe,E05014073,2
2022-04-01,Wendell Park,E05013750,4
2022-04-01,Wealdstone North,E05013561,6
2022-04-01,Waterloo & South Bank,E05014118,12
2022-04-01,Wandle,E05013826,1
2022-04-01,Brixton Windrush,E05014098,17
2022-04-01,Brixton Rush Common,E05014097,5
2022-04-01,Wandle,E05014026,2
2022-04-01,Brixton North,E05014096,8
2022-04-01,Wandsworth Common,E05014027,6
2022-04-01,Brixton Acre Lane,E05014095,6
2022-04-01,Bow East,E05009319,13
2022-04-01,Brimsdown,E05013674,9
2022-04-01,Bridge,E05011236,5
2022-04-01,Wanstead Park,E05011254,3
2022-04-01,Brentford West,E05013608,2
2022-04-01,Brentford East,E05013607,2
2022-04-01,Wanstead Village,E05011255,5
2022-04-01,Bowes,E05013673,5
2022-04-01,Bow West,E05009320,4
2022-04-01,Wandsworth Town,E05014028,11
2022-04-01,Bexleyheath,E05011219,7
2022-04-01,Bethnal Green West,E05009331,17
2022-04-01,West Barnes,E05013827,5
2022-04-01,Beckton,E05013904,11
2022-04-01,Beckenham Town & Copers Cope,E05013987,5
2022-04-01,West Heath,E05011233,3
2022-04-01,Beam Park,E05013967,5
2022-04-01,Beam,E05014056,8
2022-04-01,West Hendon,E05013649,6
2022-04-01,Bayswater,E05013793,4
2022-04-01,West Harrow,E05013563,4
2022-04-01,West Hill,E05014029,2
2022-04-01,Barnsbury,E05013698,6
2022-04-01,William Morris,E05013902,8
2022-04-01,West Kensington,E05013751,2
2022-04-01,Barnhill,E05013497,6
2022-04-01,Barnet Vale,E05013628,7
2022-04-01,West Putney,E05014030,4
2022-04-01,Barnes,E05013774,3
2022-04-01,Battersea Park,E05014010,4
2022-04-01,Becontree,E05014057,5
2022-04-01,West Hampstead,E05013671,8
2022-04-01,Beddington,E05013754,6
2022-04-01,Bethnal Green East,E05009317,8
2022-04-01,West Drayton,E05013581,7
2022-04-01,Berrylands,E05013929,0
2022-04-01,Bensham Manor,E05011464,2
2022-04-01,West Dulwich,E05014119,4
2022-04-01,Belvedere,E05011218,3
2022-04-01,West End,E05013808,42
2022-04-01,Belsize,E05013652,6
2022-04-01,Belmore,E05013564,4
2022-04-01,West Finchley,E05013648,5
2022-04-01,Belmont,E05013755,5
2022-04-01,Belmont,E05013542,0
2022-04-01,Yiewsley,E05013584,8
2022-04-01,West Green,E05013603,5
2022-04-01,Bellingham,E05013714,5
2022-04-01,West Ham,E05013927,2
2022-04-01,Bedfont,E05013606,5
2022-04-01,Broad Green,E05011465,8
2022-04-01,Walpole,E05013541,5
2022-04-01,Brockley,E05013716,6
2022-04-01,Bromley Common & Holwood,E05013990,4
2022-04-01,Trinity,E05014025,10
2022-04-01,Centenary,E05013544,4
2022-04-01,Cazenove,E05009368,6
2022-04-01,Tudor,E05013946,1
2022-04-01,Cathall,E05013883,5
2022-04-01,Tufnell Park,E05013713,6
2022-04-01,Catford South,E05013717,8
2022-04-01,Central Greenford,E05013518,4
2022-04-01,Carterhatch,E05013677,3
2022-04-01,Carshalton South & Clockhouse,E05013757,6
2022-04-01,Carshalton Central,E05013756,4
2022-04-01,Underhill,E05013647,3
2022-04-01,Canons,E05013543,4
2022-04-01,Upminster,E05013986,3
2022-04-01,Canonbury,E05013701,10
2022-04-01,Cannon Hill,E05013811,0
2022-04-01,Twickenham Riverside,E05013789,5
2022-04-01,Chadwell,E05011237,6
2022-04-01,Town,E05013693,9
2022-04-01,Chadwell Heath,E05014058,5
2022-04-01,Chessington South & Malden Rushett,E05013931,2
2022-04-01,Chelsfield,E05013992,3
2022-04-01,Tolworth,E05013945,2
2022-04-01,Chelsea Riverside,E05009391,1
2022-04-01,Cheam,E05013758,7
2022-04-01,Tooting Bec,E05014023,4
