Ward code,Ward name,stop_count
E05009317,Bethnal Green East,30
E05009318,Blackwall & Cubitt Town,41
E05009319,Bow East,45
E05009320,Bow West,27
E05009321,Bromley North,15
E05009322,Bromley South,18
E05009323,Canary Wharf,46
E05009324,Island Gardens,26
E05009325,Lansbury,37
E05009326,Limehouse,8
E05009327,Mile End,31
E05009328,Poplar,22
E05009329,St Dunstan's,14
E05009330,St Katharine's & Wapping,35
E05009331,Bethnal Green West,24
E05009332,Shadwell,27
E05009333,Spitalfields & Banglatown,26
E05009334,Stepney Green,13
E05009335,Weavers,8
E05009336,Whitechapel,22
E05009367,Brownswood,11
E05009368,Cazenove,18
E05009369,Clissold,22
E05009370,Dalston,29
E05009371,De Beauvoir,12
E05009372,Hackney Central,34
E05009373,Hackney Downs,24
E05009374,Hackney Wick,46
E05009375,Haggerston,26
E05009376,Homerton,29
E05009377,Hoxton East & Shoreditch,35
E05009378,Hoxton West,24
E05009379,King's Park,18
E05009380,Lea Bridge,31
E05009381,London Fields,29
E05009382,Shacklewell,14
E05009383,Springfield,27
E05009384,Stamford Hill West,9
E05009385,Stoke Newington,17
E05009386,Victoria,20
E05009387,Woodberry Down,29
E05009388,Abingdon,15
E05009389,Brompton & Hans Town,37
E05009390,Campden,18
E05009391,Chelsea Riverside,15
E05009392,Colville,13
E05009393,Courtfield,23
E05009394,Dalgarno,17
E05009395,Earl's Court,12
E05009396,Golborne,15
E05009397,Holland,19
E05009398,Norland,9
E05009399,Notting Dale,8
E05009400,Pembridge,16
E05009401,Queen's Gate,17
E05009402,Redcliffe,16
E05009403,Royal Hospital,29
E05009404,St. Helen's,12
E05009405,Stanley,21
E05011095,Borough & Bankside,40
E05011096,Camberwell Green,25
E05011097,Champion Hill,19
E05011098,Chaucer,25
E05011099,Dulwich Hill,26
E05011100,Dulwich Village,45
E05011101,Dulwich Wood,44
E05011102,Faraday,18
E05011103,Goose Green,28
E05011104,London Bridge & West Bermondsey,49
E05011105,Newington,21
E05011106,North Bermondsey,19
E05011107,North Walworth,31
E05011108,Nunhead & Queen's Road,20
E05011109,Old Kent Road,42
E05011110,Peckham,14
E05011111,Peckham Rye,34
E05011112,Rotherhithe,37
E05011113,Rye Lane,37
E05011114,St George's,25
E05011115,St Giles,15
E05011116,South Bermondsey,26
E05011117,Surrey Docks,29
E05011217,Barnehurst,28
E05011218,Belvedere,58
E05011219,Bexleyheath,62
E05011220,Blackfen & Lamorbey,34
E05011221,Blendon & Penhill,43
E05011222,Crayford,47
E05011223,Crook Log,45
E05011224,East Wickham,39
E05011225,Erith,49
E05011226,Falconwood & Welling,49
E05011227,Longlands,30
E05011228,Northumberland Heath,28
E05011229,St Mary's & St James,50
E05011230,Sidcup,58
E05011231,Slade Green & Northend,35
E05011232,Thamesmead East,33
E05011233,West Heath,39
E05011234,Aldborough,38
E05011235,Barkingside,28
E05011236,Bridge,30
E05011237,Chadwell,18
E05011238,Churchfields,37
E05011239,Clayhall,24
E05011240,Clementswood,9
E05011241,Cranbrook,26
E05011242,Fairlop,28
E05011243,Fullwell,38
E05011244,Goodmayes,23
E05011245,Hainault,51
E05011246,Ilford Town,30
E05011247,Loxford,14
E05011248,Mayfield,24
E05011249,Monkhams,19
E05011250,Newbury,19
E05011251,Seven Kings,28
E05011252,South Woodford,27
E05011253,Valentines,19
E05011254,Wanstead Park,24
E05011255,Wanstead Village,39
E05011462,Addiscombe East,28
E05011463,Addiscombe West,35
E05011464,Bensham Manor,22
E05011465,Broad Green,36
E05011466,Coulsdon Town,83
E05011467,Crystal Palace & Upper Norwood,55
E05011468,Fairfield,68
E05011469,Kenley,33
E05011470,New Addington North,27
E05011471,New Addington South,53
E05011472,Norbury & Pollards Hill,19
E05011473,Norbury Park,20
E05011474,Old Coulsdon,76
E05011475,Park Hill & Whitgift,9
E05011476,Purley & Woodcote,81
E05011477,Purley Oaks & Riddlesdown,27
E05011478,Sanderstead,52
E05011479,Selhurst,21
E05011480,Selsdon & Addington Village,52
E05011481,Selsdon Vale & Forestdale,45
E05011482,Shirley North,44
E05011483,Shirley South,43
E05011484,South Croydon,46
E05011485,South Norwood,38
E05011486,Thornton Heath,32
E05011487,Waddon,59
E05011488,West Thornton,35
E05011489,Woodside,29
E05013496,Alperton,24
E05013497,Barnhill,21
E05013498,Brondesbury Park,34
E05013499,Cricklewood & Mapesbury,21
E05013500,Dollis Hill,52
E05013501,Harlesden & Kensal Green,30
E05013502,Kenton,42
E05013503,Kilburn,28
E05013504,Kingsbury,22
E05013505,Northwick Park,27
E05013506,Preston,30
E05013507,Queens Park,34
E05013508,Queensbury,31
E05013509,Roundwood,38
E05013510,Stonebridge,78
E05013511,Sudbury,17
E05013512,Tokyngton,16
E05013513,Welsh Harp,25
E05013514,Wembley Central,32
E05013515,Wembley Hill,28
E05013516,Wembley Park,21
E05013517,Willesden Green,30
E05013518,Central Greenford,34
E05013519,Dormers Wells,29
E05013520,Ealing Broadway,45
E05013521,Ealing Common,23
E05013522,East Acton,32
E05013523,Greenford Broadway,42
E05013524,Hanger Hill,55
E05013525,Hanwell Broadway,21
E05013526,Lady Margaret,28
E05013527,North Acton,100
E05013528,North Greenford,31
E05013529,North Hanwell,44
E05013530,Northfield,23
E05013531,Northolt Mandeville,52
E05013532,Northolt West End,25
E05013533,Norwood Green,35
E05013534,Perivale,36
E05013535,Pitshanger,30
E05013536,South Acton,36
E05013537,Southall Broadway,16
E05013538,Southall Green,22
E05013539,Southall West,3
E05013540,Southfield,24
E05013541,Walpole,19
E05013542,Belmont,21
E05013543,Canons,19
E05013544,Centenary,27
E05013545,Edgware,21
E05013546,Greenhill,29
E05013547,Harrow on the Hill,35
E05013548,Harrow Weald,37
E05013549,Hatch End,18
E05013550,Headstone,28
E05013551,Kenton East,20
E05013552,Kenton West,9
E05013553,Marlborough,12
E05013554,North Harrow,27
E05013555,Pinner,29
E05013556,Pinner South,41
E05013557,Rayners Lane,12
E05013558,Roxbourne,14
E05013559,Roxeth,15
E05013560,Stanmore,39
E05013561,Wealdstone North,3
E05013562,Wealdstone South,19
E05013563,West Harrow,9
E05013564,Belmore,17
E05013565,Charville,27
E05013566,Colham & Cowley,59
E05013567,Eastcote,39
E05013568,Harefield Village,27
E05013569,Hayes Town,42
E05013570,Heathrow Villages,198
E05013571,Hillingdon East,43
E05013572,Hillingdon West,15
E05013573,Ickenham & South Harefield,40
E05013574,Northwood,43
E05013575,Northwood Hills,35
E05013576,Pinkwell,45
E05013577,Ruislip,59
E05013578,Ruislip Manor,18
E05013579,South Ruislip,36
E05013580,Uxbridge,58
E05013581,West Drayton,37
E05013582,Wood End,48
E05013583,Yeading,24
E05013584,Yiewsley,27
E05013585,Alexandra Park,24
E05013586,Bounds Green,21
E05013587,Bruce Castle,31
E05013588,Crouch End,29
E05013589,Fortis Green,19
E05013590,Harringay,32
E05013591,Hermitage & Gardens,11
E05013592,Highgate,48
E05013593,Hornsey,19
E05013594,Muswell Hill,22
E05013595,Noel Park,20
E05013596,Northumberland Park,30
E05013597,St Ann's,15
E05013598,Seven Sisters,25
E05013599,South Tottenham,28
E05013600,Stroud Green,18
E05013601,Tottenham Central,30
E05013602,Tottenham Hale,27
E05013603,West Green,35
E05013604,White Hart Lane,27
E05013605,Woodside,27
E05013606,Bedfont,53
E05013607,Brentford East,19
E05013608,Brentford West,33
E05013609,Chiswick Gunnersbury,42
E05013610,Chiswick Homefields,43
E05013611,Chiswick Riverside,9
