Ward code,Ward name,Total population,Under 15 years,15 to 64 years,65 years and older,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure,Total: All dwellings,Total: Occupied dwellings,Unoccupied dwellings,Total: All households,One-person household,One-person household: Aged 66 years and over,One-person household: Other,Single family household,Other household types
E05000026,Abbey,15918,4180,10927,811,165.0,420.0,1230.0,3955.0,0.0,5780,5435,350.0,5447.0,1404.0,185.0,1219.0,3204.0,839.0
E05000027,Alibon,11392,2882,7538,972,245.0,910.0,2390.0,555.0,0.0,4090,3960,135.0,3950.0,887.0,293.0,594.0,2526.0,537.0
E05000028,Becontree,16545,4574,10750,1221,265.0,1375.0,2195.0,1595.0,0.0,5455,5310,130.0,5319.0,1178.0,394.0,784.0,3408.0,733.0
E05000029,Chadwell Heath,12128,3164,7531,1433,200.0,1305.0,1245.0,1575.0,0.0,4325,4185,145.0,4188.0,1056.0,491.0,565.0,2626.0,506.0
E05000030,Eastbrook,11520,2464,7477,1579,185.0,1385.0,1695.0,800.0,15.0,4070,3925,140.0,3933.0,929.0,447.0,482.0,2517.0,487.0
E05000031,Eastbury,12810,3242,8495,1073,265.0,1055.0,2140.0,960.0,0.0,4425,4275,150.0,4279.0,1006.0,350.0,656.0,2631.0,642.0
E05000032,Gascoigne,11942,3462,7847,633,120.0,350.0,880.0,3015.0,0.0,4405,4225,180.0,4221.0,1080.0,232.0,848.0,2683.0,458.0
E05000033,Goresbrook,12293,3124,7877,1292,245.0,995.0,2460.0,715.0,0.0,4425,4220,205.0,4221.0,902.0,369.0,533.0,2758.0,561.0
E05000034,Heath,12382,3162,7970,1250,190.0,1050.0,1750.0,1695.0,0.0,4695,4530,160.0,4539.0,1345.0,465.0,880.0,2686.0,508.0
E05000035,Longbridge,13301,2982,8933,1386,175.0,995.0,1875.0,860.0,0.0,3920,3765,150.0,3763.0,761.0,365.0,396.0,2191.0,811.0
E05000036,Mayesbrook,11717,3045,7583,1089,280.0,1045.0,2120.0,705.0,0.0,4150,4055,95.0,4056.0,991.0,391.0,600.0,2549.0,516.0
E05000037,Parsloes,11198,2893,7341,964,230.0,1010.0,2250.0,495.0,0.0,3975,3835,135.0,3836.0,829.0,302.0,527.0,2520.0,487.0
E05000038,River,11678,3098,7433,1147,280.0,905.0,2300.0,545.0,0.0,4040,3845,200.0,3842.0,779.0,302.0,477.0,2542.0,521.0
E05000039,Thames,16699,5014,10908,777,270.0,860.0,1790.0,2855.0,0.0,5795,5515,280.0,5526.0,1234.0,233.0,1001.0,3613.0,679.0
E05000040,Valence,12077,3197,7823,1057,265.0,1095.0,2200.0,670.0,0.0,4225,4105,120.0,4106.0,935.0,376.0,559.0,2658.0,513.0
E05000041,Village,11940,3101,7635,1204,255.0,1000.0,1250.0,2100.0,0.0,4590,4320,270.0,4318.0,1227.0,398.0,829.0,2591.0,500.0
E05000042,Whalebone,13366,3547,8677,1142,245.0,990.0,2065.0,1270.0,0.0,4580,4375,205.0,4386.0,955.0,395.0,560.0,2791.0,640.0
E05000043,Brunswick Park,16832,3266,10726,2840,355.0,2990.0,1720.0,1295.0,0.0,6385,6230,135.0,6234.0,1465.0,646.0,819.0,4153.0,616.0
E05000044,Burnt Oak,19873,4464,13430,1979,290.0,1480.0,2380.0,2775.0,0.0,6935,6705,230.0,6715.0,1528.0,514.0,1014.0,4118.0,1069.0
E05000045,Childs Hill,20722,4007,13951,2764,740.0,1775.0,820.0,5660.0,0.0,9015,8285,720.0,8391.0,2759.0,740.0,2019.0,4595.0,1037.0
E05000046,Colindale,29795,6241,21495,2059,185.0,1430.0,1170.0,9205.0,0.0,12050,11380,655.0,11376.0,3311.0,522.0,2789.0,6747.0,1318.0
E05000047,Coppetts,17713,3628,11680,2405,330.0,1570.0,1365.0,3915.0,0.0,7175,6910,255.0,6928.0,1989.0,576.0,1413.0,4276.0,663.0
E05000048,East Barnet,17524,3775,11176,2573,685.0,2490.0,1160.0,2550.0,0.0,6915,6730,155.0,6740.0,1769.0,719.0,1050.0,4463.0,508.0
E05000049,East Finchley,16641,3163,10991,2487,170.0,995.0,1735.0,4255.0,0.0,7160,6890,265.0,6895.0,2210.0,937.0,1273.0,4043.0,642.0
E05000050,Edgware,18704,4388,11395,2921,1250.0,2275.0,510.0,2755.0,0.0,6815,6560,245.0,6561.0,1528.0,680.0,848.0,4333.0,700.0
E05000051,Finchley Church End,16479,3202,10161,3116,900.0,1655.0,350.0,4190.0,0.0,7090,6615,470.0,6657.0,1978.0,860.0,1118.0,3991.0,688.0
E05000052,Garden Suburb,15711,3069,9546,3096,1190.0,1965.0,810.0,2875.0,0.0,6865,6425,445.0,6431.0,1931.0,944.0,987.0,3870.0,630.0
E05000053,Golders Green,20880,5829,12541,2510,745.0,2530.0,675.0,3440.0,0.0,7410,6910,515.0,7046.0,2077.0,713.0,1364.0,4148.0,821.0
E05000054,Hale,17904,3918,11350,2636,700.0,3150.0,900.0,1690.0,0.0,6465,6205,260.0,6213.0,1326.0,601.0,725.0,4167.0,720.0
E05000055,Hendon,19182,4033,12849,2300,755.0,1560.0,540.0,4920.0,0.0,7785,7265,510.0,7330.0,2196.0,670.0,1526.0,4081.0,1053.0
E05000056,High Barnet,16694,3035,10553,3106,1380.0,1825.0,1065.0,3050.0,0.0,7315,7040,285.0,7043.0,2259.0,968.0,1291.0,4284.0,500.0
E05000057,Mill Hill,21121,4422,13564,3135,1440.0,2590.0,1005.0,3500.0,0.0,8540,8000,535.0,8017.0,2124.0,865.0,1259.0,5149.0,744.0
E05000058,Oakleigh,16559,3088,10458,3013,1040.0,2290.0,505.0,2935.0,0.0,6785,6520,275.0,6522.0,1733.0,753.0,980.0,4243.0,546.0
E05000059,Totteridge,15880,3084,9830,2966,1255.0,2170.0,690.0,2410.0,0.0,6550,6190,375.0,6177.0,1586.0,708.0,878.0,4084.0,507.0
E05000060,Underhill,16297,3104,10301,2892,705.0,2445.0,1380.0,1885.0,130.0,6540,6365,175.0,6379.0,1759.0,879.0,880.0,4119.0,501.0
E05000061,West Finchley,16761,3174,11269,2318,225.0,1695.0,1100.0,4110.0,0.0,7140,6750,395.0,6768.0,1977.0,654.0,1323.0,4020.0,771.0
E05000062,West Hendon,19208,3554,13504,2150,1000.0,1495.0,1005.0,4010.0,0.0,7525,7020,505.0,7074.0,2026.0,564.0,1462.0,3841.0,1207.0
E05000063,Woodhouse,18857,3571,12457,2829,270.0,1775.0,1585.0,4050.0,0.0,7680,7375,315.0,7398.0,2121.0,699.0,1422.0,4489.0,788.0
E05000085,Alperton,18323,3513,12973,1837,325.0,1175.0,1375.0,2675.0,0.0,5555,5280,260.0,5288.0,1041.0,326.0,715.0,2907.0,1340.0
E05000086,Barnhill,17017,3299,11243,2475,945.0,1560.0,515.0,2810.0,0.0,5860,5665,185.0,5671.0,1340.0,557.0,783.0,3418.0,913.0
E05000087,Brondesbury Park,13428,2216,9386,1826,435.0,855.0,380.0,4180.0,0.0,5855,5500,360.0,5510.0,1945.0,642.0,1303.0,2806.0,759.0
E05000088,Dollis Hill,14772,3318,9699,1755,360.0,1355.0,1140.0,2210.0,0.0,5080,4830,245.0,4843.0,1170.0,391.0,779.0,2953.0,720.0
E05000089,Dudden Hill,15950,3450,10580,1920,255.0,1485.0,1200.0,2885.0,0.0,5820,5550,280.0,5554.0,1583.0,534.0,1049.0,3044.0,927.0
E05000090,Fryent,14703,2821,10006,1876,265.0,2075.0,570.0,1990.0,0.0,4930,4715,215.0,4711.0,1018.0,406.0,612.0,2794.0,899.0
E05000091,Harlesden,16702,3733,11414,1555,160.0,500.0,930.0,5540.0,0.0,7135,6500,640.0,6513.0,2195.0,504.0,1691.0,3592.0,726.0
